ID,ID_TEXT,PAGE,ChineseSimple,Chinese,English,Vietnamese,Korean,,
52,,CHANGEPASS_JS,,请输入新密码！,Please enter a new password！,Vui lòng nhập mật khẩu mới!,,,
53,,CHANGEPASS_JS,,密码不能小于6位！,The password can not be less than 6！,Mật khẩu không thể nhỏ hơn 6!,,,
54,,CHANGEPASS_JS,,密码必须使用（0-9，A-Z）且不少于6位！,Password must use（0-9，A-Z）And not less than 6,Mật khẩu cho phép các ký tự (0-9) (A-Z) và phải lớn hơn 6 ký tự!,,,
55,,CHANGEPASS_JS,,您输入的两次密码不一致，请确认！,Please enter the same password as above!,"Mật khẩu xác nhận không đúng, vui lòng nhập lại!",,,
56,,CHANGEPASS_JS,,密码修改成功！,Your password is updated!,Sửa đổi mật khẩu thành công!,,,
57,,CHANGEPASS_JS,,请输入正确的旧密码,Please re-enter your original password,Vui lòng nhập mật khẩu để xác nhận!,,,
58,,CHANGEPASS_JS,,请再次输入新密码!,Please re-enter a new password!,Vui lòng nhập lại mật khẩu mới!,,,
59,,GAME_JS,,请填写场次！,Please fill in the Game No ！,Nhập số bàn!,,,
60,,GAME_JS,,无数据,Nothing,Dữ liệu trống,,,
61,,GAME_JS,,开牌时间,Date,Thời gian mở bài,,,
62,,GAME_JS,,台 号,Table No,Bàn số,,,
63,,GAME_JS,,场-局次,Game No,Ván số,,,
64,,GAME_JS,,结果,Result,Kết quả,,,
65,,GAME_JS,,开答明细,Result Details,Kết quả chi tiết,,,
66,,GAME_JS,,本局取消,Game Cancle,Hủy ván,,,
67,,GAME_JS,,闲,Player,Con,,,
68,,GAME_JS,,虎,Tiger,Hổ,,,
69,,GAME_JS,,公牛,BULL,BULL,,,
70,,GAME_JS,,庄,Banker,Cái,,,
71,,GAME_JS,,龙,Dragon,Long,,,
72,,GAME_JS,,斗牛士,MATADOR,MATADOR,,,
73,,LISTNOTICE_JS,,请选择日期！,Please select start date！,Vui lòng chọn ngày!,,,
74,,LISTNOTICE_JS,,数据加载中,Loading,Vui lòng chờ,,,
75,,LISTNOTICE_JS,,无数据,Nothing,Dữ liệu trống,,,
76,,PLAYLIST_JS,,请选择日期！,Please select start date！,Vui lòng chọn ngày!,,,
77,,PLAYLIST_JS,,请选择日期！,Please select end date！,Vui lòng chọn ngày!,,,
78,,PLAYLIST_JS,,请输入会员帐号！,Please fill in the username!,Vui lòng điền tên thành viên!,,,
79,,PLAYLIST_JS,,无数据,Nothing,Dữ liệu trống,,,
80,,PLAYLIST_JS,,日  期,Date,Ngày,,,
81,,PLAYLIST_JS,,会  员,Member,Thành viên,,,
82,,PLAYLIST_JS,,投注金额,Bet Amount,Tiền cược,,,
83,,PLAYLIST_JS,,输赢金额,Win Loss,Thắng thua,,,
84,,PLAYLIST_JS,,洗码量,Comm Base,Cược hợp lệ,,,
85,,PLAYLIST_JS,,洗码类别,Type,Loại,,,
86,,PLAYLIST_JS,,洗码比,Comm %,Hoa hồng %,,,
87,,PLAYLIST_JS,,洗码佣金,CommAmount,Hoa hồng,,,
88,,PLAYLIST_JS,,总  赢,Total win,Tổng thắng,,,
89,,PLAYLIST_JS,,每日明细,Daily Details,Chi tiết hàng ngày,,,
90,,PLAYLIST_JS,,单边,Single,Một bên,,,
91,,PLAYLIST_JS,,双边,Bilateral,Hai bên,,,
92,,PLAYLIST_JS,,查询,Query,Truy vấn,,,
93,,PLAYLIST_JS,,会员每日交易明細,Member daily transaction details,Chi tiết giao dịch hằng ngày của thành viên,,,
94,,PLAYLIST_JS,,返回,Back,Quay lại,,,
95,,PLAYLIST_JS,,汇总,Summary,Tổng,,,
96,,PLAYLIST_JS,,会员电子每日交易明細,Member electron  daily transaction details,Chi tiết giao dịch game điện tử,,,
97,,PLAYMONEY_JS,,请选择日期！,Please select start date！,Vui lòng chọn ngày!,,,
98,,PLAYMONEY_JS,,请选择日期！,Please select end date！,Vui lòng chọn ngày!,,,
99,,PLAYMONEY_JS,,请输入会员帐号！,Please fill in the Member !,Vui lòng điền thành viên!,,,
100,,PLAYMONEY_JS,,无数据,Nothing,Dữ liệu trống,,,
101,,PLAYMONEY_JS,,日  期,Date,Ngày,,,
102,,PLAYMONEY_JS,,会  员,Member,Thành viên,,,
103,,PLAYMONEY_JS,,交易类别,Type,Loại,,,
104,,PLAYMONEY_JS,,交易金额,Amount,Số tiền,,,
105,,PLAYMONEY_JS,,剩余额度,Remain Balance,Số dư,,,
106,,PLAYMONEY_JS,,支付账户,Payout Account,Tài khoản chi tiền,,,
107,,PLAYMONEY_JS,,代  理,Agent,Đại lý,,,
108,,SUBGROUP_JS,,对不起您没有权限,"Sorry,you do not have permission",Bạn không có quyền truy cập,,,
109,,SUBGROUP_JS,,越权,Override,Đã bị chặn,,,
110,,SUBGROUP_JS,,余额不足,Insufficient balance,Số dư không đủ,,,
111,,SUBGROUP_JS,,帐号被暂停投注,Account was closed,Tài khoản tạm thời khóa,,,
112,,SUBGROUP_JS,,大于最大赢额,Exceed the max win amount,Vượt quá giới hạn tiền thắng cao nhất,,,
113,,SUBGROUP_JS,,临时暂停投注,Temporary stop betting,Tạm dừng đặt cược,,,
114,,SUBGROUP_JS,,会员不存在,Account not found,Tài khoản không tồn tại,,,
115,,SUBGROUP_JS,,原密码不符,Original password is wrong,Sai mật khẩu,,,
116,,SUBGROUP_JS,,代理不存在,Agent not found,Đại lý không tồn tại,,,
117,,SUBGROUP_JS,,转帐余额不足,Insufficient balance transfer,Số dư không đủ,,,
118,,SUBGROUP_JS,,此代理不能添加会员,This agent can not create member,Đại lý đã bị chặn,,,
119,,SUBGROUP_JS,,洗码比越界（大于上级）,Exceed the upline's comm rate,Tỷ lệ hoa hồng cao hơn cấp trên,,,
120,,SUBGROUP_JS,,台数越界（大于上级）,Must follow table limit,Quá giới hạn bàn,,,
121,,SUBGROUP_JS,,今日会员游戏已产生数据，请于开盘或游戏前做修改,"Member already placed bet, please you adjust the setting before starting game tomorrow!","Thành viên đã đặt cược, vui lòng điều chỉnh trước đặt cược vào ngày mai!",,,
122,,SUBGROUP_JS,,不能传入负值,Cannot enter insufficient balance,Không được nhập vào số âm,,,
123,,SUBGROUP_JS,,占成越界（大于上级）,Exceed the upline's share,Vượt quá tỷ lệ chia cấp trên,,,
124,,SUBGROUP_JS,,代理 已存在,Agent already exist,Đại lý đã tồn tại,,,
125,,SUBGROUP_JS,,洗码类型 与上级不一致,Comm type is different from the upline,Loại hoa hồng khác với cấp trên,,,
126,,SUBGROUP_JS,,会员已存在,Account already exist,Tài khoản đã tồn tại,,,
127,,SUBGROUP_JS,,代理被禁用,Agent is blocked,Đại lý bị khóa,,,
128,,SUBGROUP_JS,,超过最大会员数,Exceed the maximum number of members,Vượt quá giới hạn thành viên cho phép,,,
129,,SUBGROUP_JS,,下线代理管理,Agent Management,Quản lý đại lý,,,
130,,SUBGROUP_JS,,客户管理,Member Management,Quản lý thành viên,,,
131,,SUBGROUP_JS,,子帐号管理,Shadow Management,Quản lý tài khoản con,,,
132,,SUBGROUP_JS,,人民币,CNY,CNY,,,
133,,SUBGROUP_JS,,台币,TWD,TWD,,,
134,,SUBGROUP_JS,,港币,HKD,HKD,,,
135,,SUBGROUP_JS,,单边洗码,Single,Một bên,,,
136,,SUBGROUP_JS,,双边洗码,Bilateral,Xét hai bên,,,
137,,SUBGROUP_JS,,账号,User,Tài khoản,,,
138,,SUBGROUP_JS,,剩余点数,Remain credits,Số dư,,,
139,,SUBGROUP_JS,,帐号状态,Status,Tình trạng,,,
140,,SUBGROUP_JS,,锁定,Lock,Khóa,,,
141,,SUBGROUP_JS,,正常,Normal,Bình thường,,,
142,,SUBGROUP_JS,,投注状态,Betting status,Tình trạng cược,,,
143,,SUBGROUP_JS,,暂停,Pause,Tạm dừng,,,
144,,SUBGROUP_JS,,占成,Share,Tỷ lệ chia,,,
145,,SUBGROUP_JS,,洗码类型,Type,Loại,,,
146,,SUBGROUP_JS,,洗 码 比,Comm Rate,Hoa hồng %,,,
147,,SUBGROUP_JS,,功能列表,Function,Chức năng,,,
148,,SUBGROUP_JS,,新增,Add New,Thêm mới,,,
149,,SUBGROUP_JS,,搜索,Search,Tìm kiếm,,,
150,,SUBGROUP_JS,,会员搜索,Member Search,Tìm kiếm thành viên,,,
151,,SUBGROUP_JS,,新增会员,Add Member,Thêm thành viên,,,
152,,SUBGROUP_JS,,用户搜索,User Search,Tìm kiếm tài khoản,,,
153,,SUBGROUP_JS,,新增子帐号,Add Shadow,Thêm tài khoản con,,,
154,,SUBGROUP_JS,,投注状态,Betting status,Tình trạng cược,,,
155,,SUBGROUP_JS,,帐号,User,Tài khoản,,,
156,,SUBGROUP_JS,,别名,Alias,Tên khác,,,
157,,SUBGROUP_JS,,洗码比,Comm Rate,Hoa hồng %,,,
158,,SUBGROUP_JS,,洗码佣金,Comm Amount,Hoa hồng,,,
159,,SUBGROUP_JS,,状态,Status,Trạng thái,,,
160,,SUBGROUP_JS,,投注,Bet,Cược,,,
161,,SUBGROUP_JS,,开户日期,Register Date,Ngày đăng ký,,,
162,,SUBGROUP_JS,,最后登录ip,Last IP,IP cuối,,,
163,,SUBGROUP_JS,,设定,Setting,Thiết lập,,,
164,,SUBGROUP_JS,,总监占成,Director Shares,Cấp cao ăn %,,,
165,,SUBGROUP_JS,,公司占成,Company Shares,Công ty ăn %,,,
166,,SUBGROUP_JS,,币种,Currency,Tiền tệ,,,
167,,SUBGROUP_JS,,电子洗码比,Egame CommRate,E game hoa hồng %,,,
168,,SUBGROUP_JS,,电子占成,Egame Share,E game tỷ lệ chia %,,,
169,,SUBGROUP_JS,,单边,Single,Một bên,,,
170,,SUBGROUP_JS,,存入,Deposit,Nạp vào,,,
171,,SUBGROUP_JS,,提取,Withdraw,Rút tiền,,,
172,,SUBGROUP_JS,,权限,Permission,Quyền hạn,,,
173,,SUBGROUP_JS,,启用,Start,Bắt đầu,,,
174,,SUBGROUP_JS,,停用,Suspend,Ngừng,,,
175,,SUBGROUP_JS,,账号不能为空,Username can not be empty,Tên tài khoản không được bỏ trống,,,
176,,SUBGROUP_JS,,单边,Single,Một bên,,,
177,,SUBGROUP_JS,,双边,Bilateral,Xét hai bên,,,
178,,SUBGROUP_JS,,您搜索账号不存在,Account does not exist,Tài khoản không tồn tại,,,
179,,SUBGROUP_JS,,您的账号已被暂停，无法对此操作,"Your account has been suspended, cannot operate","Tài khoản đã tạm ngưng, không thể tiếp tục",,,
180,,SUBGROUP_JS,,登录密码,Password,Mật khẩu,,,
181,,SUBGROUP_JS,,确认密码,Confirm password,Nhập lại mật khẩu,,,
182,,SUBGROUP_JS,,公司占成,Company shares,Công ty ăn %,,,
183,,SUBGROUP_JS,,密码必须使用（0-9，A-Z）且不少于6位,Password must use（0-9，A-Z）and not less than 6 characters,Mật khẩu cho phép các ký tự (0-9 A-Z) và không được nhỏ hơn 6 ký tự!,,,
184,,SUBGROUP_JS,,验证,Verify,Xác nhận,,,
185,,SUBGROUP_JS,,账号必须为3-9位，且不能含中文及特殊字符！,"Username must be 3-9, and cannot contain Chinese and special characters！","Tên tài khoản phải từ 3-9 ký tự, và không được dùng tiếng trung và ký tự đặc biệt",,,
186,,SUBGROUP_JS,,上线,Upline,Cấp trên,,,
187,,SUBGROUP_JS,,账号必须为3-9位，且不能含中文及特殊字符！,"Username must be 3-9, and cannot contain Chinese and special characters！","Tên tài khoản phải từ 3-9 ký tự, và không được dùng tiếng trung và ký tự đặc biệt",,,
188,,SUBGROUP_JS,,公司占成,Company shares,Cty ăn %,,,
189,,SUBGROUP_JS,,单边,Single,Một bên,,,
190,,SUBGROUP_JS,,会员限制,Member limit,Giới hạn thành viên,,,
191,,SUBGROUP_JS,,电子占成,Egame Share,Tỷ lệ chia Egame,,,
192,,SUBGROUP_JS,,电子洗码比,Egame CommRate,Hoa hồng Egame,,,
193,,SUBGROUP_JS,,游戏上限设定,Limit Setting,Thiết lập giới hạn,,,
194,,SUBGROUP_JS,,提交,Submit,Gửi,,,
195,,SUBGROUP_JS,,重置,Reset,Khôi phục,,,
196,,SUBGROUP_JS,,关闭,Close,Đóng,,,
197,,SUBGROUP_JS,,占成不能为空,Share cannot be empty,Tỷ lệ chia không được để trống,,,
198,,SUBGROUP_JS,,不能大于上级的占成！请重填,Cannot be larger than the upline share! Please enter again,Không thể lớn hơn tỷ lệ chia cấp trên! Vui lòng nhập lại,,,
199,,SUBGROUP_JS,,请填写数字,Please fill in the digital,Vui lòng nhập số,,,
200,,SUBGROUP_JS,,总代理占成和代理占成之和不能大于上级的占成！请重填,The total share of General and Agent can not be larger than the upline share! Please enter again!,Tỷ lệ chia của đại lý không thể lớn hơn cấp trên! Vui lòng nhập lại,,,
201,,SUBGROUP_JS,,请填写数字,Please enter the number ,Vui lòng chỉ nhập số,,,
202,,SUBGROUP_JS,,帐户不能为空！,Account can not be empty,Tài khoản không được bỏ trống,,,
203,,SUBGROUP_JS,,恭喜您，可以使用此帐户！,"Congratulations you, can use this account!",Tài khoản có thể sử dụng!,,,
204,,SUBGROUP_JS,,"""此帐户已存在！",Account already exist,Tài khoản đã tồn tại!,,,
205,,SUBGROUP_JS,,占成必须是数字，不需加百分号！,"Share value must be a number, do not need to add %!","Chỉ được nhập số, vui lòng không nhập %!",,,
206,,SUBGROUP_JS,,不能大于100%！,Cannot be larger than 100!,Không được lớn hơn 100%!,,,
207,,SUBGROUP_JS,,占成不能大于上级！,Your share can not be larger than upline!,Không được lớn hơn tỷ lệ chia cấp trên,,,
208,,SUBGROUP_JS,,必须是数字！,Must be a number ,Vui lòng chỉ nhập số,,,
209,,SUBGROUP_JS,,洗码比必须是数字，不需加百分号！,"Comm rate must be numberic, do not need to add % !","Tỷ lệ hoa hồng phải nhập số, không được thêm %",,,
210,,SUBGROUP_JS,,洗码比不可超过10%！,Comm rate cannot be exceed 10% !,Tỷ lệ hoa hồng không được vượt quá 10% !,,,
211,,SUBGROUP_JS,,不能大于上级洗码比！,Cannot be larger than the upline 's comm rate!,Không thể lớn hơn tỷ lệ hoa hồng cấp trên!,,,
212,,SUBGROUP_JS,,点数必须是数字!,Points must be digital！,Vui lòng chỉ nhập số,,,
213,,SUBGROUP_JS,,点数不能大于上级剩余点数！,Points cannot be larger than the upline's balance,Không được vượt quá số dư cấp trên,,,
214,,SUBGROUP_JS,,类 型,Type,Loại,,,
215,,SUBGROUP_JS,,台 号,Table number,Số bàn,,,
216,,SUBGROUP_JS,,筹码,Chips,Chips,,,
217,,SUBGROUP_JS,,选择,Select,Chọn,,,
218,,SUBGROUP_JS,,下限,Max,Cao nhất,,,
219,,SUBGROUP_JS,,上限,Min,Thấp nhất,,,
220,,SUBGROUP_JS,,"名称不可为空,且不能有特殊字符！",Login name can not be empty！,Vui lòng nhập tên đăng nhập!,,,
221,,SUBGROUP_JS,,密码不可为空！,Password can not be empty！,Vui lòng nhập mật khẩu!,,,
222,,SUBGROUP_JS,,密码确认错误！,Confirm password is wrong!,Mật khẩu xác nhận không chính xác!,,,
223,,SUBGROUP_JS,,额度必须是整数！,Must be a number!,Giới hạn phải là số!,,,
224,,SUBGROUP_JS,,股东占成不能为空,Share cannot be empty,Tỷ lệ chia không được để trống,,,
225,,SUBGROUP_JS,,总监占成不能为空,Share cannot be empty,Tỷ lệ chia không được để trống,,,
226,,SUBGROUP_JS,,额度不能大于上级剩余点数！,Amount cannot be larger than the upline remain balance!,Số tiền không được lớn hơn số dư tài khoản cấp trên!,,,
227,,SUBGROUP_JS,,"占成出错,请重新输入！","Share value is wrong, please enter again!","Nhập sai tỷ lệ chia, vui lòng nhập lại!",,,
228,,SUBGROUP_JS,,"洗码比出错,请重新输入！","Comm rate is wrong, please enter again!","Nhập sai tỷ lệ hoa hồng, vui lòng nhập lại!",,,
229,,SUBGROUP_JS,,洗码比不能大于上级！,Comm rate can not be larger than the upline!,Tỷ lệ hoa hồng không được vượt quá cấp trên,,,
230,,SUBGROUP_JS,,电子洗码比不能大于上级！,Comm rate can not be larger than the upline!,Tỷ lệ hoa hồng không được vượt quá cấp trên,,,
231,,SUBGROUP_JS,,对不起！至少选择一种筹码,Please choose chips,Vui lòng chọn chips,,,
232,,SUBGROUP_JS,,保存成功！,Save success!,Lưu thành công,,,
233,,SUBGROUP_JS,,保存出错!,Save error!,Lỗi,,,
234,,SUBGROUP_JS,,洗码类型,Comm type,Loại hoa hồng,,,
235,,SUBGROUP_JS,,电子游戏,E Games,E Games,,,
236,,SUBGROUP_JS,,开通,Open,Mở,,,
237,,SUBGROUP_JS,,修改成功！,Successful！,Thành công!,,,
238,,SUBGROUP_JS,,存入点数,Deposit,Nạp vào,,,
239,,SUBGROUP_JS,,存入点数[上线,Deposit [Upper,Nạp vào [Cấp trên,,,
240,,SUBGROUP_JS,,点数不能为空！,Point cannot be empty,Vui lòng nhập điểm!,,,
241,,SUBGROUP_JS,,点数必须是数值！,Points must be numerical!,Vui lòng chỉ nhập số!,,,
242,,SUBGROUP_JS,,存入点数成功!,Deposit success!,Nạp điểm thành công!,,,
243,,SUBGROUP_JS,,提出点数,Withdraw,Rút ra,,,
244,,SUBGROUP_JS,,提取点数[上线,Withdraw [Upper,Rút ra [Cấp trên:,,,
245,,SUBGROUP_JS,,提取点数成功！,Withdraw success!,Rút điểm thành công!,,,
246,,SUBGROUP_JS,,提取点数失败！,Withdraw failled!,Rút điểm thất bại!,,,
247,,SUBGROUP_JS,,您确定暂停此下线？,Are you sure you want to suspend this downline?,Xác nhận tạm dừng đại lý này?,,,
248,,SUBGROUP_JS,,"您确定解除\""暂停\""此下线？","Are you sure you want to Unlock\""Suspend\""this downline？",Xác nhận mở khóa/ tạm dừng đại lý này?,,,
249,,SUBGROUP_JS,,操作成功！,Successful！,Thành công!,,,
250,,SUBGROUP_JS,,操作失败！,Operation failed!,Thao tác thất bại!,,,
251,,SUBGROUP_JS,,您确定锁定此下线？,Are you sure you want to lock this downline?,Xác nhận khóa đại lý này?,,,
252,,SUBGROUP_JS,,"您确定解除\""锁定\""此下线？","Are you sure you want to Unlock\""Lock\"" this downline?",Xác nhận mở khóa/ tạm dừng đại lý này?,,,
253,,SUBGROUP_JS,,会员帐号,User,Tài khoản,,,
254,,SUBGROUP_JS,,最后登录,Finally login,Đăng nhập cuối,,,
255,,SUBGROUP_JS,,信用额度,Credit,Tín dụng ,,,
256,,SUBGROUP_JS,,提出,Puts forward,Rút tiền,,,
257,,SUBGROUP_JS,,停用,Stop,Dừng,,,
258,,SUBGROUP_JS,,会员账号不能为空,Account can not be less than five!,Tài khoản phải lớn hơn 5!,,,
259,,SUBGROUP_JS,,您搜索的账号不存在,Your search for account does not exist,Tài khoản không tồn tại,,,
260,,SUBGROUP_JS,,您的账号已被暂停，无法对此操作,Your search for account does not exist,Tài khoản không tồn tại,,,
261,,SUBGROUP_JS,,新增会员[上线,New Member[Upper,Thành viên mới[Cấp trên,,,
262,,SUBGROUP_JS,,会员别名,Member alias,Danh bạ thành viên,,,
263,,SUBGROUP_JS,,余额恢复,Balance recovery,Số tiền khôi phục,,,
264,,SUBGROUP_JS,,洗码比,Than wash yards,Tính RL,,,
265,,SUBGROUP_JS,,手动恢复 ,Manual recovery,Khôi phục thủ công,,,
266,,SUBGROUP_JS,,每天自动恢复 ,Every auto recovery,Khôi phục theo ngày,,,
267,,SUBGROUP_JS,,每周自动恢复,Weekly auto recovery,Khôi phục theo tuần,,,
268,,SUBGROUP_JS,,最大赢额,Biggest win forehead,Tiền thắng lớn nhất,,,
269,,SUBGROUP_JS,,"如设置此值, 当用户剩余点数大于用户最大赢额, 会员将被暂停投注, 0为不设上限","Set this value when the member's remaining points greater than the user maximum win amount, the member will be suspended for betting,0 is no limit","Thiết lập giá trị này khi các điểm còn lại của người sử dụng lớn hơn số tiền người sử dụng tối đa chiến thắng, thành viên sẽ bị đình chỉ cho cá cược",,,
270,,SUBGROUP_JS,,游戏上限设定,Game cap,Trần trò chơi,,,
271,,SUBGROUP_JS,,最大赢额必须是整数,Biggest win frontal must be an integer,Tiền thắng lớn nhất phải là số,,,
272,,SUBGROUP_JS,,对不起！最多只能选择3种筹码！,Sorry! Most can only choose 3 kinds of chips！,Chọn tối đa 3 loại phỉnh!,,,
273,,SUBGROUP_JS,,保存失败！,Save failed！,Lưu thất bại!,,,
274,,SUBGROUP_JS,,您确定暂停此客户？,Are you sure suspend the customers？,Xác nhận tạm ngưng khách hàng?,,,
275,,SUBGROUP_JS,,"您确定解除\""暂停\""此客户？","Are you sure lifted\""Pause\""The customer？",Xác nhận tạm dừng mãi mãi khách hàng ?,,,
276,,SUBGROUP_JS,,确定锁定此客户？,Are you sure you want to lock this member?,Xác nhận khóa tài khoản này?,,,
277,,SUBGROUP_JS,,确定解除锁定此客户？,Are you sure you want to unlock this member?,Xác nhận mở khóa tài khoản này?,,,
278,,SUBGROUP_JS,,"如设置此值, 当用户剩余点数大于用户最大赢额, 会员将被暂停投注, 0为不设上限","Set this value when the member's remaining points is greater than the user maximum win amount, the member will be suspended for betting,0 is no limit","Khi số dư của thành viên lớn hơn tiền thắng tối đa, tài khoản của thành viên sẽ bị tạm khóa. 0 tức là không giới hạn!",,,
279,,SUBGROUP_JS,,存入点数必须大于0,Deposit points must be greater than 0,Số điểm nạp vào phải lớn 0,,,
280,,SUBGROUP_JS,,新增点数失败！,Add new points failled!,Nạp điểm thất bại!,,,
281,,SUBGROUP_JS,,提出点数[上线,Withdraw [Upline,Rút tiền[Cấp trên,,,
282,,SUBGROUP_JS,,子帐号,Shadow,Tài khoản con,,,
283,,SUBGROUP_JS,,最后登录日期,Last Login,Đăng nhập cuối,,,
284,,SUBGROUP_JS,,登记日期,Registration date,Ngày đăng ký,,,
285,,SUBGROUP_JS,,最后登录ip,Last Login IP,IP cuối,,,
286,,SUBGROUP_JS,,删除,Delete,Xóa ,,,
287,,SUBGROUP_JS,,新增子帐号[上线,New Shadow [Upline,Tài khoản con [Cấp trên,,,
288,,SUBGROUP_JS,,子帐号帐号,Shadow User,Tài khoản con,,,
289,,SUBGROUP_JS,,子帐号别名,Description,Giới thiệu,,,
290,,SUBGROUP_JS,,对不起！至少选择一个权限！,Sorry! Please select at least 1 permission!,Xin lỗi! Vui lòng chọn một loại!,,,
291,,SUBGROUP_JS,,子帐号不可为空！,Shadow cannot be empty!,Vui lòng nhập tên đăng nhập!,,,
292,,SUBGROUP_JS,,添加成功！,Successful！,Thêm thành công!,,,
293,,SUBGROUP_JS,,子帐号设定[上线,Shadow setting [Upline,Thiết lập tài khoản cao [Cấp trên,,,
294,,SUBGROUP_JS,,查看报表,View Report,Xem báo cáo,,,
295,,SUBGROUP_JS,,及时注单,Bet records ,Cược theo thời gian,,,
296,,SUBGROUP_JS,,帐号查看,Account View,Xem tài khoản,,,
297,,SUBGROUP_JS,,帐号管理,Account Management,Quản lý tài khoản,,,
298,,SUBGROUP_JS,,修改失败！,Modified failure！,Điều chỉnh thất bại!,,,
299,,SUBGROUP_JS,,确定暂停此帐号？,Are you sure you want to suspend this account?,Xác nhận tạm khóa tài khoản này?,,,
300,,SUBGROUP_JS,,确定解除暂停此帐号？,Are you sure you want to unpause this account?,Xác nhận mở khóa tài khoản này?,,,
301,,SUBGROUP_JS,,删除成功！,Deleted successful！,Xóa thành công!,,,
